date_pub,statut_ex,bib,pret,diff_datecreation_datepub,acces,acq,indice
2001,19,SJA,1,16,direct,achat,33
2005,19,LASH,1,13,direct,don,868
2007,19,LASH,0,10,direct,achat,19
2007,19,SJA,0,13,direct,achat,65
1942,19,LASH,1,74,indirect,don,numinv
2005,19,SJA,1,11,direct,don,36
1954,19,LASH,0,62,direct,achat,19
2004,19,DROIT,1,11,direct,don,34
2013,19,DROIT,1,2,direct,don,34
1980,19,SJA,0,37,direct,don,15
2005,19,DROIT,1,14,direct,achat,34
2005,19,LASH,0,14,direct,achat,94
1968,19,LASH,1,49,direct,achat,19
2012,19,LASH,1,9,direct,don,81
1981,19,SJA,0,37,direct,don,51
1992,19,SJA,0,27,direct,don,30
1991,19,LASH,0,29,indirect,achat,numinv
2011,19,SJA,0,7,direct,achat,65
1992,19,SJA,1,24,direct,don,30
1992,19,LASH,0,29,direct,don,82
1988,19,LASH,0,32,indirect,achat,numinv
1976,19,SJA,0,42,direct,don,33
2013,19,SCIEN,0,3,direct,achat,62
1952,19,LASH,0,67,direct,achat,94
1983,19,SJA,0,38,direct,don,33
1965,19,DROIT,0,51,direct,achat,numinv
1969,19,SJA,0,51,direct,achat,33
1988,19,LASH,0,32,indirect,achat,numinv
1955,19,SCIEN,0,62,indirect,achat,numinv
1987,19,SJA,0,33,direct,don,33
2006,19,SJA,0,10,direct,don,96
1960,19,SJA,0,60,direct,achat,91
1964,19,LASH,0,56,indirect,achat,numinv
1968,19,SJA,1,49,direct,don,30
1994,19,LASH,1,25,direct,achat,94
2012,19,LASH,1,5,direct,achat,35
1972,19,LASH,1,48,direct,achat,19
2005,19,LASH,0,13,direct,don,84
1987,19,SJA,1,30,direct,don,44
1992,19,DROIT,0,24,direct,don,32
1991,19,SJA,0,27,direct,don,33
1982,19,DROIT,1,33,direct,don,94
2017,19,SCIEN,1,0,direct,achat,53
1991,19,SJA,0,26,direct,don,15
1993,19,DROIT,0,22,direct,don,34
2016,19,DROIT,1,1,direct,don,34
2016,19,SCIEN,1,2,direct,don,70
2017,19,LASH,1,1,direct,achat,49
1972,19,SJA,0,45,direct,don,30
2007,19,SJA,0,10,direct,don,84
2007,19,LASH,0,10,indirect,don,numinv
2011,19,MEDP,0,6,direct,achat,WB
2017,19,DROIT,1,0,direct,achat,34
1984,19,LASH,0,37,direct,don,15
2017,18,SJA,0,0,direct,achat,61
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,SCIEN,1,0,direct,achat,55
2017,19,SCIEN,1,0,direct,achat,55
2003,19,LASH,1,14,direct,achat,84
2017,19,LASH,1,0,direct,achat,79
2017,19,EPU,1,0,direct,achat,62
1980,19,SJA,0,37,direct,don,30
